Variable;Dictionary;Label
specialistservices;yndnk;A - Dedicated specialist services (e.g., STI clinics)
speplanuse;yndnk;Do you plan to use this data source for this project?
hospital;yndnk;B - Hospital
hospitalspecify;;If yes, please specify the services contributing (e.g. Urology, antenatal, obstetrics and gynaecology):
hosplanuse;yndnk;Do you plan to use this data source for this project?
phpc;yndnk;C - Primary health care, General practitioner
phplanuse;yndnk;Do you plan to use this data source for this project?
private;yndnk;D - Private healthcare providers
privplanuse;yndnk;Do you plan to use this data source for this project?
onlineservices;yndnk;E - On-line STI self-testing and self-sampling services
onlplanuse;yndnk;Do you plan to use this data source for this project?
lab;yndnk;F - Laboratories
labspecify;;"If yes, please specify the type of laboratories (e.g., local / community; Hospital-based; National reference laboratory):"
labplanuse;yndnk;Do you plan to use this data source for this project?
other;yndnk;G - Other services (e.g., NGO, community services, etc)
otherpecify;;Please specify:
othplanuse;yndnk;Do you plan to use this data source for this project?
spefrequency;freq;1. What is the frequency at which the data could be extracted?
specoverage;geo2;2. Is the EHR system of this given healthcare service national, regional or local (i.e., one or a few hospitals)?
specoveragemore;yndnk;If regional or local, are there more than one system in the country for this service (i.e., one system for each region / for each site)?
specoveragemoreinteropera;yndnk;If yes, are these regional / local systems standardised (i.e., interoperable)?
speroportion;proportion;3. What proportion of gonorrhoea cases nationally each year are diagnosed in the given healthcare service (a rough estimate is acceptable)
speagesex;yndnk;Age and sex
speagesexcomp;completeness;If yes, is completeness
spesymptoms;yndnk;STI syndrome / symptoms
spesymptomscomp;completeness;If yes, is completeness
spesiteinfection;yndnk;Site of infection (i.e., oral, anal, genital)
spesiteinfectioncomp;completeness;If yes, is completeness
spelabconf;yndnk;Laboratory confirmation
spelabconfcomp;completeness;If yes, is completeness
speamr;yndnk;Antimicrobial resistance
speamrcomp;completeness;If yes, is completeness
spetransmission;yndnk;Transmission group
spetransmissioncomp;completeness;If yes, is completeness
spehiv;yndnk;HIV status
spehivcomp;completeness;If yes, is completeness
spepregnancy;yndnk;Pregnancy
spepregnancycomp;completeness;If yes, is completeness
speclinlab;yposndnk;5. If clinical and laboratory data are available electronically in separate databases, is there a possibility to link the clinical with laboratory data (i.e., using an identifier such as patient ID)?
speobstacleassessing;;
speobstaclereporting;;
specomment;;Any comment related to the data sources of interest
hosfrequency;freq;1. What is the frequency at which the data could be extracted?
hoscoverage;geo2;2. Is the EHR system of this given healthcare service national, regional or local (i.e., one or a few hospitals)?
hoscoveragemore;yndnk;If regional or local, are there more than one system in the country for this service (i.e., one system for each region / for each site)?
hoscoveragemoreinteropera;yndnk;If yes, are these regional / local systems standardised (i.e., interoperable)?
hosproportion;proportion;3. What proportion of gonorrhoea cases nationally each year are diagnosed in the given healthcare service (a rough estimate is acceptable)
hosagesex;yndnk;Age and sex
hosagesexcomp;completeness;If yes, is completeness
hossymptoms;yndnk;STI syndrome / symptoms
hossymptomscomp;completeness;If yes, is completeness
hossiteinfection;yndnk;Site of infection (i.e., oral, anal, genital)
hossiteinfectioncomp;completeness;If yes, is completeness
hoslabconf;yndnk;Laboratory confirmation
hosabconfcomp;completeness;If yes, is completeness
hosamr;yndnk;Antimicrobial resistance
hosamrcomp;completeness;If yes, is completeness
hostransmission;yndnk;Transmission group
hostransmissioncomp;completeness;If yes, is completeness
hoshiv;yndnk;HIV status
hoshivcomp;completeness;If yes, is completeness
hospregnancy;yndnk;Pregnancy
hospregnancycomp;completeness;If yes, is completeness
hosclinlab;yposndnk;5. If clinical and laboratory data are available electronically in separate databases, is there a possibility to link the clinical with laboratory data (i.e., using an identifier such as patient ID)?
hosobstacleassessing;;
hosobstaclereporting;;
hoscomment;;Any comment related to the data sources of interest
phfrequency;freq;1. What is the frequency at which the data could be extracted?
phcoverage;geo2;2. Is the EHR system of this given healthcare service national, regional or local (i.e., one or a few hospitals)?
phcoveragemore;yndnk;If regional or local, are there more than one system in the country for this service (i.e., one system for each region / for each site)?
phcoveragemoreinteropera;yndnk;If yes, are these regional / local systems standardised (i.e., interoperable)?
phproportion;proportion;3. What proportion of gonorrhoea cases nationally each year are diagnosed in the given healthcare service (a rough estimate is acceptable)
phagesex;yndnk;Age and sex
